Sigma Value (km/s^2), LKF Range Residual RMS (m), LKF Range Rate Residual RMS (mm/s), EKF Range Residual RMS (m), EKF Range Rate Residual RMS (mm/s), LKF 3D Position Error RMS (m), EKF 3D Position Error RMS (m), LKF 3D Velocity Error RMS (mm/s), EKF 3D Velocity Error RMS (mm/s)
1.0e-18, 7703.8859, 103.1475, 7706.1497, 103.1715, 217.6456, 217.6261, 136.3179, 136.3022
1.0e-16, 7703.8584, 103.1470, 7706.1221, 103.1710, 217.6464, 217.6269, 136.3183, 136.3026
1.0e-14, 7560.8624, 100.4619, 7562.4147, 100.4769, 221.6720, 221.6474, 138.9801, 138.9620
1.0e-12, 721.8507, 7.8617, 721.9637, 7.8619, 133.6018, 133.6044, 107.6511, 107.6522
1.0e-11, 136.0424, 1.4809, 136.0422, 1.4818, 129.0662, 129.0726, 105.9460, 105.9485
5.0e-11, 99.3894, 1.0127, 99.3817, 1.0128, 127.9401, 127.9536, 105.0052, 105.0110
1.0e-10, 96.4967, 0.9707, 96.4968, 0.9707, 122.8873, 122.9016, 101.1513, 101.1575
5.0e-10, 95.9721, 0.9016, 95.9758, 0.9016, 65.2086, 65.2428, 53.8146, 53.8299
1.0e-09, 95.9684, 0.8598, 95.9722, 0.8598, 50.7605, 50.8123, 37.6342, 37.6603
5.0e-09, 95.9666, 0.7047, 95.9723, 0.7046, 75.8949, 73.2185, 47.7597, 46.2658
1.0e-08, 95.9663, 0.6054, 95.9722, 0.6054, 109.6600, 106.0876, 68.3611, 68.4012
5.0e-08, 95.9702, 0.3080, 33455556.0126, 1186538.9429, 226.6903, 8833358.1249, 139.1018, 12164754.2671
1.0e-07, 95.9718, 0.1777, 13825873486.3461, 65331634.7483, 413.3910, 109939139.8904, 251.1248, 69070014.3606
5.0e-07, 95.8953, 0.0209, 961115233.3550, 11156797.4238, 858.1208, 163687802.4677, 518.7856, 74366453.6038
1.0e-06, 95.6658, 0.0132, 902734011.4306, 7735804.8486, 900.9986, 849760376.2804, 545.7041, 146548414.3111
5.0e-06, 93.2552, 0.0509, 990718852.0075, 108380200.9335, 1184.1706, 23494253787.0027, 760.2053, 4856475434.0262
1.0e-05, 111.9323, 0.6660, 1552104982.6428, 211982387.4114, 3524.1966, 31026276183.0980, 2251.9367, 6132508057.7447
